a,b,c,d,e,f,g,h,i,j,k,l,label,m,n,o,p,q,r,s,t
-17078.8720061,-8717.52536675,-1063.52103028,-574.059043204,1511.84874271,1817.43644639,-1748.62869946,3561.53244992,-2397.80795912,544.302786302,1353.33945769,-731.454214655,minor_mistake_marvin,-1136.45181403,-795.121449917,-6035.33098459,2424.37712755,235.644198471,5544.36598963,7663.36859079,647.7845068
17094.3160727,5291.24591476,-7576.19512078,2435.84102956,-3326.34503409,-1524.74894612,-6885.92446964,1870.56333851,1815.82299515,2109.20679844,-2532.60850052,-747.364364725,good_guy_greg,-639.530963207,2967.67361676,3952.42819728,-2424.22260925,-2767.53294566,-53.7510158206,3674.81245168,3790.52453208
30393.3482401,-3799.63169094,-2209.03793747,4514.0316713,9842.95294914,2232.7592047,-1145.84160189,-3204.23481829,-4851.52002371,-4700.65883334,-1235.73102771,-3292.8352591,bad_joke_eel,4625.19366587,-320.241175728,-6878.80329272,402.765785604,-2344.2856593,3483.33889318,-3238.53967269,3651.97963196
586.438347144,13322.7724404,-5689.94924778,-3502.95246923,-5264.92271963,1316.55169564,1142.33950321,-1604.57786301,260.88966597,-988.678467448,-2618.32081877,7182.62455191,good_guy_greg,7330.50216748,-1293.73722111,6485.60558381,-6719.70363013,-4249.33200221,3766.51336762,-1173.12387233,-613.28834198
6412.49270503,20460.2888343,3226.56530268,-72.4763169945,-7989.93176506,212.336581875,3119.6435667,-7477.10020446,-8877.75882875,6975.67486192,2502.06347373,-3415.92239407,high_expectations_asian_father,-3437.04016135,6034.57759485,-2362.22121667,-940.209033233,-1878.15525706,1801.68523356,4168.29313774,-1458.78422296
-1957.35742441,11864.117876,20.519306756,-2052.72061492,-3683.29468035,5232.56339507,4564.99699235,597.769297381,-6074.1743423,2923.41175262,1959.45787097,-93.5438841442,philosoraptor,-1165.85816924,-4214.32656968,-329.727702938,-2511.24847655,6421.7880467,797.835673653,-6032.76786158,2210.55661457
-8378.66495565,4108.40317113,1970.11996202,-4900.97178831,-1616.89598147,-678.937177605,-1949.8249018,88.9383102128,771.272924172,-1134.89700223,-7148.49247103,-3097.56963911,confession_bear,-4791.38106,-3719.90495168,-2380.17647221,6124.82604852,-1557.96784525,-311.317895229,-4107.82544677,-906.823787757
-2197.9028518,11403.3864479,-8164.74770627,198.370370125,-5469.58259307,17318.5019597,1350.33514821,1092.30702371,15923.3115286,-4841.42380412,4207.92364786,-688.280545455,business_cat,-31.0450647782,2181.71308762,-4794.36143732,-522.008642403,97.848872677,-3206.41304479,432.52732713,-618.285752019
93.1516260772,-14165.7677852,1853.31986687,-2571.1260086,-5163.51682742,-1048.39003246,-6658.37388191,1861.58768113,695.846399001,3664.32421513,3543.80991371,4963.39761166,evil_toddler,-1807.46724264,-6121.35255022,-3929.13380569,-1060.67762286,-3285.02408018,-285.605022634,-774.656109939,-2602.01653699
11028.5412675,-17155.9053825,4821.85821496,-2300.81364202,-5864.57245185,-882.535748068,-8154.3606568,-1482.41911451,5237.36964515,6896.87419328,-3823.95944326,3807.54758516,lazy_college_senior,-486.781331065,-6606.28643469,492.808289449,394.652257916,1959.11817073,2183.14344178,1018.02314839,4847.99352008
-2479.22230421,1964.56763416,-1832.93077067,-1736.19214037,-4040.6112659,-650.491243402,-2230.27039813,-882.01077193,-932.187982263,-1401.73323944,-6171.20289514,-432.745083465,overly_attached_girlfriend,3321.23168337,7848.50865147,5563.19050091,-2340.49925369,7171.61115797,4896.26154261,3433.11616162,5808.30217229
-3011.83508537,11149.7074882,-8217.74906634,1646.81696295,-5359.65493994,16289.9832738,-648.067420498,1442.15148963,13363.7042999,-3785.46854518,1742.72956651,-766.689283594,business_cat,304.729983921,1726.1264923,-5383.70687447,-988.583038499,1392.67255031,-335.626535818,-1449.94951356,-617.119628035
-20148.1929563,-15057.0769619,2989.5448455,-3275.46500351,-47.7940629999,2734.98913389,-3397.14137459,1584.64402173,-2332.5240312,-2231.36819621,-3105.69765279,-1333.4903048,first_day_on_the_internet_kid,-975.850161675,5471.60495234,1076.38610918,-4225.72422135,2824.35805671,3260.84885592,-3880.18578891,-617.905477768
11680.7706341,-16776.337382,4031.49640513,-4198.88026892,-4753.04805435,-69.811140706,-9602.78828074,-2044.94550923,1425.82694872,15532.0468473,-5282.26506568,-612.360737446,lazy_college_senior,-1391.73599999,-7095.50735712,-1599.60710746,-1004.04336374,5060.76094924,-8655.82137945,5801.02337111,5945.95310286
18486.9475677,-13770.1610742,6779.92921787,-8970.51267903,-6665.2791521,-846.788057205,6739.86665497,-3337.90281987,4294.08106493,3472.75843661,-4079.95230393,1863.16166692,sudden_clarity_clarence,47.1329988477,1098.14827007,2561.81049556,-654.133044982,5513.50075688,1292.04650994,-1453.23280883,-573.125629641
-2221.67563078,11572.7749149,31906.1108497,14796.8293884,1394.88057021,-1341.01898683,-2499.60851542,6223.62901217,4485.87885556,-1433.79816694,2415.53252715,-1164.19018403,socially_awkward_penguin,2327.21782007,-267.327680749,4566.71114617,-663.508362702,-1208.60914845,-1116.34564909,259.819511684,-241.905016197
-14259.6938681,-4964.77748037,-133.892507426,-7626.58997756,5218.68448659,-4603.37584927,-1451.82911077,-347.611913741,30.685031225,1263.65358328,5223.91872423,1596.83745803,sheltered_college_freshman,-191.065284239,-2710.88759827,-1866.09516417,-1002.02325277,2047.23254197,2884.11029124,-2995.8068922,933.048903314
-3057.80491962,12062.535749,4809.37372348,-8589.8286964,9237.99016265,-7904.18915928,2963.60905155,705.376790725,3741.46785327,-2392.68731291,-4427.55040216,10403.8667817,bad_luck_brian,-68.0000109748,-215.194875242,-6450.00970229,509.915631471,853.039568462,1148.17295861,1007.19772882,1758.90457055
15824.4475702,642.468793182,-14624.6373569,6719.79973444,-7001.23704747,-16248.8469676,2559.75204857,16290.5401398,450.683088161,-1986.91640402,182.847710731,-5166.77208647,paranoid_parrot,-1998.81741924,-456.851700214,-296.982148128,-1849.74147614,923.167096678,-269.698445723,1134.95089866,311.062105907
-4216.93995764,7287.00766487,28539.681697,13305.2341103,1648.95010148,-1114.40021798,-1189.57871121,4835.15891614,2454.00806133,-475.053767264,1019.48322514,-2314.78773873,socially_awkward_penguin,1562.4994145,-1356.22815742,2435.37238035,-2538.52296877,1.4418022481,463.099521836,1299.57405021,-1717.29338116
-13719.6240415,-6037.53711419,-52.2331033139,21.7285052834,-2132.43900742,-3200.38183638,-2729.78854723,-384.991271311,569.312042842,3328.84235896,766.169482883,-839.016513468,overly_attached_girlfriend,671.567648243,2137.60939121,3378.23941842,808.645354368,8138.64010109,6878.71570441,-458.543849654,-2545.48206841
-8442.82750095,-11507.9284984,5142.4536267,-7713.20223467,-6412.86579322,-1086.79572371,-2610.10821052,5987.40731045,-4971.01685943,-3316.19626955,3835.98561316,7633.14493117,minor_mistake_marvin,-2527.70063814,-2512.16816503,-4523.94996551,-2156.16324897,-3246.94332912,-23.2402139281,3492.01298887,1887.81928045
-494.445810708,-6671.39779132,-3060.30414842,3232.29414731,-4021.19739746,127.153117303,-5085.14018306,2025.99623108,754.617980744,21.4328140727,886.333869909,-225.20471669,evil_toddler,-555.914403635,1828.66446353,-1011.75772661,-699.419375713,-4049.66360753,538.824434618,3479.7066986,3369.22582971
-4479.5316701,8593.94444028,-7049.72557159,1550.50670688,-5530.78327482,15113.031436,-2378.04554387,1836.03386028,11648.2589798,-2802.45536517,2641.88135694,-430.077132676,business_cat,-1880.56830204,728.462411719,-6782.59336923,-523.827641632,5.79717812987,-2629.77036461,-2257.50591881,-446.480799416
-11335.5210214,1739.68302838,-3348.65979282,-9384.00284951,9293.23698703,-9603.4109033,-7287.60184349,-8295.36113144,4765.89028844,-4032.93240473,10006.9007922,-5209.22623151,sheltered_college_freshman,-3665.65130282,-151.822094997,3841.45793853,-2231.12059945,868.300018459,1249.07155999,-1991.56715057,895.965518201
2031.35207527,20805.9253753,-129.048223163,-714.253940773,48.9876465321,-904.065763286,2046.64402259,-6148.88731566,-5462.99276264,3347.59886909,-2889.39579456,-3570.47691221,high_expectations_asian_father,-4285.10400767,6405.57914282,-4434.62633331,3827.65771396,-2788.65740277,1442.85523914,1609.82018877,1250.31552211
-3793.92889016,11731.1019001,265.29052359,-2819.61551188,-2682.75159528,172.466357394,-2694.67936624,-1248.10355694,-2338.63832183,-4366.28582329,-9376.30713148,-4465.83309555,confession_bear,-189.285022603,-9521.15914457,-343.825774518,6353.52568643,-1047.55795006,1009.4453736,-1615.24344352,3450.47439485
-14949.0453509,-1186.89744153,-5245.37597737,-3980.83246737,10796.4314226,4759.05484163,4829.86024752,6975.45390197,-1902.84967837,9338.02550982,1171.05781472,-4548.62294134,college_liberal,4428.41974391,581.685824353,3067.15306356,913.824198834,-3438.92719758,-2340.42264951,-293.216550762,147.816644306
-11302.161505,1560.58760883,-3459.46037359,-9625.74276458,9630.7731305,-9669.99003557,-8010.72789104,-8485.07420729,4284.90866235,-4087.99121245,10596.3347519,-5586.40869532,sheltered_college_freshman,-3523.4747698,-865.424907214,3850.37923331,-2105.69721929,1560.71499927,1285.85466645,-1687.09639189,1026.67582047
-11397.7036499,1544.53017922,-3204.31147206,-9072.78882431,9421.63411973,-9317.64711952,-8568.10559767,-8306.98031529,4436.57829393,-3658.74596286,9708.15572525,-6042.32533163,sheltered_college_freshman,-3872.71551393,-565.738686387,3932.26439785,-1962.34385923,1687.46546928,856.512028437,-1196.16423681,365.369992237
-4203.29825005,6239.99031841,28865.3580908,12770.6774385,1815.30519052,189.231410979,-1502.6327966,5564.55566648,2028.04561784,-68.1792200343,1127.7594654,-1156.92938322,socially_awkward_penguin,571.606776578,-781.172109659,1201.44008691,-3456.64684094,-1360.54843993,1525.82560527,-314.423269387,897.36653136
15214.9052525,1153.66144833,-12861.4016496,6853.04537495,-8276.82577004,-17527.1948581,1374.41796636,14658.5581918,4946.219727,695.008180719,1435.60121548,-4634.62017829,paranoid_parrot,-3219.07724328,3236.29039303,-630.026806923,-422.775562041,-1576.74787165,267.169845964,-4466.33218619,3730.14509541
32887.8456785,-5448.89438113,-1922.42006649,3567.44662047,7374.03447288,1238.73463676,-2003.66409949,-5267.86514644,-3256.4660963,-1411.23743588,-4024.60048963,-5052.24225536,bad_joke_eel,6911.75715834,8.07439036434,-6101.94452354,-1522.43621857,1146.85879946,2699.40673776,-3215.73038142,-522.993971386
-20387.7754264,-15869.2012561,2934.4842696,-2899.59214517,-209.222974466,3213.5261176,-3393.08666327,2316.29978383,-4422.67349356,-6088.83472318,-991.759652481,-1919.25334498,first_day_on_the_internet_kid,-847.457894051,2416.08509148,2126.67696571,-3569.12535972,3687.59034734,344.406260613,-568.826184452,-2203.88808203
31210.8421483,-4485.2523789,-2958.43205979,3745.04578145,9125.23899279,1052.2242544,-2031.44204429,-5353.54498891,-2010.52920613,-4296.89529844,-2593.81641379,-6575.97552904,bad_joke_eel,6204.35411706,-679.448034159,-3761.9628773,-1273.61066397,-548.297003168,-2155.78749772,2631.16155846,-2603.28990754
1365.83229487,14082.5074356,7662.9873715,-6812.31654407,4722.85930387,-8816.23467235,3471.85873345,-2674.4529979,-248.824864401,2683.64499207,571.630526828,6198.14919119,bad_luck_brian,-2244.36464651,-2042.31701308,-6263.21561428,2447.86114159,-299.908911616,-3834.214011,-746.491703139,-5898.53952938
10583.0592865,24980.0243459,-859.400858313,796.326813525,-7646.81811689,941.545613842,1665.80102154,-8566.85588452,-8207.50968033,7995.94957145,1463.98651466,-1738.18236643,high_expectations_asian_father,-4372.65974059,9589.1805087,-2802.35558885,-354.76104417,-3094.29467123,3428.1817354,65.8476390905,3017.84298487
-2383.74785492,15444.3116575,2564.34479769,-8015.67995349,12974.3638927,-9049.15620774,3708.48375531,286.543898314,5232.08001014,-927.471804038,-4317.4661885,8568.15726212,bad_luck_brian,1370.53641949,1602.20439333,-5969.21411021,1535.75888878,702.98659468,572.324149566,1592.78372842,2322.12753619
-14677.4678641,-1700.71550514,-5046.87665985,-4430.340952,11146.8665048,4439.91501887,4431.31359747,6746.40533072,-1915.2012536,9734.7584688,529.385376373,-4453.69373414,college_liberal,4811.81058516,1082.92518701,2156.54927603,460.388291362,-3884.97173392,-1481.79604656,-1316.29204021,863.308825862
2500.10441067,18629.9213904,2741.67863736,-1669.39768849,-4803.67311597,-318.22147304,4081.33659058,-6304.32381175,-7874.20050044,3227.09810188,-1356.86195889,-692.627951569,high_expectations_asian_father,-5099.48462886,5526.38204339,-5108.2540025,3556.57559022,-2523.7088969,4232.28313458,-461.74176158,3397.75467044
-18472.814938,-14821.3728576,982.921640052,1096.91548245,-137.133458067,3243.4824145,2144.22133505,3467.14719121,-1421.39291698,-972.945439367,1877.75636948,4050.21931001,overly_attached_girlfriend,1384.65908794,-2495.08662459,-6223.61709157,-2081.34507554,1090.27888852,5157.36006271,-1729.20968787,-971.547899003
-19263.2871721,-11493.807401,-7407.86787298,16018.6515609,1016.7686683,-2798.96707993,8196.30190152,-8632.17589528,2380.55067159,2836.26237731,-873.485037687,2954.28597598,advice_god,-2502.83609093,-1496.09970497,202.633705223,-282.851439193,-3282.28204341,-531.822960424,-1108.62914768,1111.57447744
-2778.64448055,11557.0265287,-24.1707464781,-1438.74822712,-3441.25313007,6384.6105044,2704.66534184,955.899852641,-7475.98539814,3137.771475,1934.54080836,351.682044442,philosoraptor,-2195.52548174,-5510.49249462,-360.912960379,-1423.01733305,8268.83232647,229.2792627,-5847.57354446,1631.69905132
-2145.15067599,10730.0896318,1406.700349,-3248.40700497,-4610.9470718,280.36404585,-2837.9645502,-2277.85876446,-1614.6680647,-2823.78707055,-8011.0098841,-5219.53784153,confession_bear,287.710452388,-7122.24723752,-453.963354451,3790.10739302,-623.851259832,1385.06090366,-2636.75991055,-10.3933223242
-18118.6591332,-11245.7648692,-291.495294407,-1435.27455679,465.01217903,2955.24794841,-1495.74897069,4635.33349073,-2983.40680592,-622.880064134,1400.56683957,-178.726553707,minor_mistake_marvin,-1372.56715565,-1732.0912477,-5714.32211939,1520.45933474,-75.2477721965,6145.02685117,7315.95558369,1936.80608927
-899.525711382,10636.4626974,-191.367515376,-564.477066317,-3578.39126541,4721.34976817,1423.84748628,447.946900178,-4272.78833122,4176.33552208,2518.3570158,-2069.23841551,philosoraptor,-2684.62717628,-1156.46510443,-221.692324268,-1063.46004415,1105.30178369,839.004779021,-4447.38293443,1812.15979252
7958.30087441,21342.8030917,2839.6803941,906.201467973,-7347.34468584,145.634458683,3292.53333517,-7672.97004295,-10022.8237805,5558.66574061,3103.3793218,-2673.45972978,high_expectations_asian_father,-2683.12847938,5755.99014229,-3086.04031235,-1374.94983752,-783.585341272,1440.40260339,5447.68462019,-216.156923561
32787.27292,-2320.48241933,-4695.440828,6800.09375506,10015.4788781,5702.68675203,-3668.74449062,2095.64243278,-6241.1090945,-3613.45701539,3589.98447209,9589.94241914,unpopular_opinion_puffin,-3369.86995698,103.907113167,580.434403589,2646.26880301,2440.23599744,2728.46622617,-4222.91381941,678.288018155
21062.6708348,-9832.91436489,2344.19564802,101.739902776,-2538.19502785,-1025.02605454,-3467.24492922,-4354.13868221,7450.06639097,12330.8256575,1651.05387101,243.97636674,unpopular_opinion_puffin,-2957.58325314,2632.06820846,-807.966669322,798.983612068,471.602368984,2285.99706598,-5104.61990433,-4955.37823777
-11783.4387936,725.084230019,-2652.29867412,-9397.02021735,8469.33092493,-8238.09985582,-8175.79396441,-6991.93238307,3227.54743561,-4971.36223187,10284.7931256,-3000.63449732,sheltered_college_freshman,-3303.41735481,-2660.78059561,4013.872362,-1344.66081644,1937.19055588,1008.27094371,-570.104405462,2787.80872452
225.450567747,12736.5113941,-6239.85881493,-955.100343527,-4556.19982052,1915.44672071,-2883.18630935,-897.319412838,-1399.34679138,1221.22747071,-2932.20495684,5282.51867854,good_guy_greg,4350.13379687,-1365.52690619,6527.31874152,-5632.99148494,-3974.11110934,3071.82228937,780.332228744,-4255.97599073
-14638.5869029,-1363.21955589,-5264.23919886,-3667.63541256,11124.5060481,4216.53020982,4256.61727277,6419.36942674,-1660.97860376,9065.20325821,1011.48391952,-4620.05137439,college_liberal,4339.20118149,736.588899629,2631.87442886,420.249581787,-2791.06265279,-2263.92752938,-310.383498748,820.262230403
-14815.5042996,-2289.4601799,-4910.36196593,-4862.51718982,10852.042371,4774.76992046,5782.81572618,7545.4555902,-2418.47022153,8442.22846928,1491.5875145,-3316.87979497,college_liberal,5379.3059737,328.940308183,2500.55131944,776.827207383,-3518.40163274,-1752.85925644,-306.172998511,846.627967521
24905.1100613,-3680.73419012,-3940.37434384,4733.4295483,11792.6799471,9155.85444201,-3757.89231728,5309.88998643,-4034.30589001,-5073.9426051,3090.18418968,10476.0943508,unpopular_opinion_puffin,-8298.30497002,1202.51117933,6674.63680897,6148.65291529,-1644.27692058,-4421.23917019,2791.92697821,4950.62521803
-14686.0607011,-765.931919754,-5226.2098897,-3937.84858983,11223.3693112,4550.19070728,4450.03327635,7080.93840079,-2204.28125761,9858.67867624,652.113037561,-5354.86813194,college_liberal,4409.37543769,742.831461866,2938.73153021,1274.35674426,-4122.80487142,-2422.84213828,-667.152132307,-372.016100171
-19418.7238416,-11746.6202285,-8381.74952719,17500.6681427,1262.85698543,-2819.29775274,8387.14202087,-10127.3464421,1872.36527846,606.285982608,-1965.72466408,2692.89823673,advice_god,-2117.19982758,-2766.12431383,2163.87658212,13.9495196855,294.106884234,-1413.52461666,1153.46204195,9.72425322721
-2318.45783501,12234.2526329,24.32830584,-1936.62041453,-3886.21587249,1405.36882857,-2410.86444471,-1166.89570418,-1823.56904865,-5642.56185936,-7435.67702408,-4570.91576896,confession_bear,395.985402315,-7596.84060033,1346.24282642,5239.06986762,-2460.70481764,2574.82882222,-1628.09216352,3959.67758725
-17707.8280959,-8903.17385227,-7831.77472026,15594.4527193,2478.8694388,-3091.93177964,7707.74455468,-9286.31242342,2358.74521773,1708.38847182,-1994.56631234,1541.79826027,advice_god,-134.649426268,-858.545850451,548.870589139,-827.616045226,2205.23647265,-1479.62074173,-825.848931399,852.463326705
16908.993908,-13123.316893,5451.73643536,-5323.88008077,-8335.83247954,-3402.52120279,-7792.70456459,-7016.34551717,6405.124626,15019.4710234,-7755.75361716,-75.5401903238,lazy_college_senior,2622.38880948,-4374.89443662,856.161009426,-2201.26427513,6413.6728937,-6216.30317492,4731.15071175,6773.09146031
-5754.15848915,6785.16605675,29193.4118493,12867.9547899,531.048132211,-1484.63882066,-1821.30867571,6318.03183972,3132.82367569,-473.300937322,799.360103937,-272.873730471,socially_awkward_penguin,569.02217221,718.182200125,1693.4161291,542.690077694,-45.6918275658,1181.9620806,-2578.55789446,-21.945055989
-2817.14206895,7155.56029508,3068.62969137,-5641.20758494,-4415.74267994,-23.0805689385,1175.82408889,-1322.20868727,-2265.97299194,-3868.12389735,-4455.12881511,-2439.4693408,confession_bear,1595.86012447,-8019.98511814,918.234424264,1400.79640184,-50.4154210947,1230.28227881,-433.227031779,1443.2118191
33722.2914845,-6382.97812213,-163.646179012,3574.28921679,4743.59368159,-1877.85054668,-1516.57498084,-7716.04158705,-928.371689074,3924.83008853,291.961118207,-4922.42019678,bad_joke_eel,3030.15941838,2956.80353823,-6204.34721694,-1100.9013465,136.544145584,6739.7888389,-8312.34093661,-7040.63089886
-2998.04344133,14461.0491576,3129.13272718,-8800.72325599,10828.5735466,-9222.013495,3600.13764795,417.728120767,5166.18915263,1097.09444635,-4114.97931872,8250.33318561,bad_luck_brian,1194.21168464,1097.02795068,-4860.55503187,894.107708461,647.780931376,-588.110077875,593.168204231,967.975290164
-3536.47361008,7525.001267,-6443.41181451,813.071821443,-5737.38309936,12930.8763278,-485.816760714,1135.56264616,12289.2079967,-5486.91275544,3891.98869777,-2070.25836998,business_cat,1497.63152527,1095.36303205,-3041.97098535,-346.954824155,704.969466013,-3669.03790645,2490.9075189,-965.451602756
-15185.2263311,-3919.26330726,-3265.33859956,-5026.98075796,9671.69103962,3203.67364005,5125.80299617,7211.57207176,-1977.71084952,8905.16356585,2036.33125164,-2999.50675393,college_liberal,4477.59983446,723.173343606,1345.61749607,240.253901026,-5194.26934425,-505.613946143,-1667.67175607,1053.30545
2432.70988788,-13639.5209363,1712.00083031,-1902.12059984,-6327.76515178,417.735122981,-9558.65371686,972.803687708,1653.94115107,7045.6247428,3387.82670592,3659.36689976,evil_toddler,-3637.52978985,-5371.12344651,-4830.92772494,213.006004476,-6140.58647399,-1089.0708052,-1873.52460673,-4232.92983603
-1131.7961026,16310.0609853,3790.18982104,-7734.40398444,10724.3172784,-9184.6658281,5665.76768722,-411.892151928,4776.8226049,455.142099711,-4855.35645091,8715.04289482,bad_luck_brian,1438.54089831,1462.6875081,-5286.11008301,316.534027229,-1208.71666976,398.810387811,1012.48971611,1870.26116267
5629.11471022,20145.3529375,2974.80507437,725.797204135,-5742.42258279,-615.912806607,3837.1412189,-7390.53249799,-8161.91120689,2913.79643939,4283.2868377,-5128.8482478,high_expectations_asian_father,-4268.68659375,7862.4765363,-2157.94009957,1211.46689344,-3681.51437607,-1602.92785738,5047.08617846,-1219.86410703
-19047.2750092,-13626.3273396,825.104504079,-2202.11666124,-2350.73800074,5346.32436425,-2786.28141071,5132.44511843,-3071.8398559,-2864.23222117,-642.108440305,997.051392027,minor_mistake_marvin,-2723.26909086,-2111.1075846,-4142.92198747,2453.61844523,-813.544968598,3467.77822931,6621.87808719,2450.15675794
4558.74334779,-11061.7829483,3432.19897691,-5307.18479659,-6764.81625837,-1590.82752047,-6381.96878043,214.727443339,402.031903725,6225.85386969,2565.92130364,1282.7121879,evil_toddler,-4053.39702318,-5501.0454822,-4483.88806407,-556.21689019,-3416.29948057,-1111.91246456,-823.067978619,-1963.22205298
-3193.10328704,10030.4642598,753.551341078,-2263.91874607,-3292.20116798,7010.76276413,4457.71372621,1861.43651777,-6749.28314669,1470.21549623,4022.19854594,747.45185389,philosoraptor,-2666.2675626,-5335.0898248,761.186265221,-1286.61655364,5576.57333748,-1320.78782026,-5035.2094864,2600.02899308
-17810.6872563,-11982.0223752,2790.78123118,-4256.2029861,-1174.64938339,1472.80656227,-2807.85928131,958.696027639,-5314.17294666,-5913.79702174,-8338.55816196,510.591397354,first_day_on_the_internet_kid,-630.974347338,6807.99706621,-1513.82705473,-5159.39518153,106.725074681,-5732.61924615,-2498.16898003,-127.976669561
21497.9438439,-18927.5414192,9437.59628337,-12050.800675,-6403.13710958,-623.176289943,15191.9910927,-1041.77062942,3467.5894358,-5187.49126551,3352.48499827,-969.905102934,sudden_clarity_clarence,1238.17518164,-259.774020534,4601.76015766,1501.81672063,-1970.62713872,-1653.57618361,2538.7325883,-4008.67069843
-3365.27657964,12064.8701616,-490.132726392,-2931.63343057,-2550.52392089,39.1992526433,-1063.5138252,-2525.70421265,162.511521925,-6320.10781319,-7826.78980171,-6773.75868781,confession_bear,24.1280721539,-7362.44141758,2548.13337458,7160.05959064,-1519.45138323,-1951.81383301,1629.23897611,-1121.72260915
29434.9858451,-1965.59007342,-5656.31857834,6197.92370258,8641.26205061,6926.73661785,-6382.11814052,2740.53000271,261.651465298,-927.27345151,741.201237324,8013.15874604,unpopular_opinion_puffin,-8952.8116616,3426.0199239,8476.17902092,7590.86102897,-1624.10004519,-6071.89041262,2614.33074064,2297.74123118
34628.7159593,-6600.02197962,-1663.86469399,7243.11685221,6608.5948574,597.307193617,-4825.36135137,-4487.7181349,-3602.24789427,-4929.56393298,57.4363598126,-3587.12885501,bad_joke_eel,4609.18857291,1746.53971631,-5149.88956331,-258.665272406,-4979.19027577,-666.123817778,-3934.91224724,4902.08181772
31756.0065463,-5883.72615738,-2539.14600302,3938.72870539,9871.49275088,1660.31257146,-317.364969707,-3630.79159429,-5699.85730204,-6967.9852878,-2211.0241432,-5824.59850242,bad_joke_eel,7224.20112079,-2895.62334379,-4526.05179988,-2144.74887291,-390.914347957,1688.18388453,2339.72619716,-2110.49501999
-3592.12649495,15220.0141982,3451.85921069,-9044.81343896,10475.6602398,-7289.5451648,2867.96319501,329.959636204,6665.76628143,1550.33492419,-5507.75937748,8783.10779228,bad_luck_brian,-890.684609831,1985.09868674,-4090.13691368,2525.71197434,1267.1764688,-947.036088201,1839.76617492,1541.86639569
-19285.5003539,-11870.5033719,-7692.17834029,17018.9109703,1465.98258382,-2573.02440945,7901.9809345,-8421.57877589,210.985321556,696.417321224,-356.715511041,2955.00327672,advice_god,-1776.38177166,-3434.43806218,516.696088838,-50.0612924797,311.723414676,-323.399048379,110.936005715,229.260358211
