a,b,c,d,e,f,g,h,i,j,k,label
-11397.7063019,1544.52902899,-3204.32325944,-9073.41337235,9421.46000105,-9321.43508856,-8563.15487478,-8305.36706478,4464.43012782,-3622.65264657,9795.41428038,sheltered_college_freshman
-4203.32295579,6240.01477243,28865.1111695,12771.6375758,1814.71418783,192.942137241,-1527.02182641,5542.21388816,2016.36240212,-37.223537025,1190.10382892,socially_awkward_penguin
15214.9703847,1153.50860037,-12854.3028514,6852.922974,-8274.66719257,-17537.350354,1437.31111509,14675.9364394,4943.5766961,600.873005629,1180.78999921,paranoid_parrot
32887.8253384,-5448.79942637,-1925.13522042,3568.32949084,7384.16289896,1253.48690329,-2020.26647533,-5296.45943262,-3213.98608035,-1435.04080024,-3883.93654127,bad_joke_eel
-20387.7637296,-15869.1389048,2934.37763427,-2897.53646146,-201.628671603,3222.01819799,-3394.78843636,2302.41663733,-4444.32642003,-6078.89545987,-1071.29988903,first_day_on_the_internet_kid
31210.8050258,-4485.20615127,-2965.18314019,3743.69877592,9141.07206334,1058.11090516,-2067.17778461,-5362.90249057,-1958.50987064,-4301.9000606,-2130.7467017,bad_joke_eel
1365.86185964,14082.6113198,7661.69199145,-6824.93729707,4698.47778821,-8815.27329043,3469.53409764,-2634.31394725,-269.892627577,2557.1296327,620.581752553,bad_luck_brian
10583.0709468,24980.0942526,-857.883993185,796.913722319,-7640.2830612,946.446871673,1688.98062526,-8573.28948428,-8221.43489375,7987.45740731,1370.80336349,high_expectations_asian_father
-2383.78099745,15444.3532938,2565.15492391,-8010.85255454,12981.398233,-9046.95016947,3678.43275173,263.054218856,5237.87345,-851.49107345,-4460.60312916,bad_luck_brian
-14677.4565455,-1700.67949031,-5044.79452519,-4431.00099437,11148.5489308,4445.18348147,4443.17930705,6741.24111326,-1941.57582034,9700.45241698,444.722245396,college_liberal
2500.08427034,18630.022137,2737.66128506,-1673.91903675,-4807.17840983,-325.890956845,4056.46724332,-6268.67338775,-7834.80250386,3283.31650212,-1011.70935626,high_expectations_asian_father
-18472.8332923,-14821.0552416,980.444745961,1091.83723945,-158.176291978,3229.82485289,2107.19887093,3471.77692721,-1447.73923643,-905.74147127,2014.04648376,overly_attached_girlfriend
-19263.2711217,-11493.891315,-7405.66305466,16015.0798367,1009.78807595,-2814.36416668,8218.17727892,-8609.44207703,2330.72061797,2803.97523713,-950.953314531,advice_god
-2778.64748824,11556.9069405,-22.1734313939,-1433.33905698,-3435.33116747,6390.77925821,2701.74682688,928.430305709,-7479.67607318,3115.48569558,1844.97412599,philosoraptor
-2145.15650333,10730.2241945,1408.20913528,-3252.83872521,-4616.33433075,269.29545977,-2843.8942871,-2249.38358526,-1636.22297245,-2778.40186611,-7923.9157193,confession_bear
-18118.7224439,-11245.7564914,-295.115065714,-1430.41809062,476.677649434,2964.38109451,-1551.12321898,4605.08114738,-2935.56881968,-568.779714499,1784.70575509,minor_mistake_marvin
-899.537016257,10636.407774,-190.638515875,-560.734631606,-3572.29114545,4725.02710519,1421.79484451,433.532808406,-4288.55165021,4170.63678688,2558.05186048,philosoraptor
7958.32139896,21342.8242201,2844.78563406,904.798147198,-7352.65185919,131.164629986,3322.70388785,-7646.44767864,-10057.1196405,5569.54026745,3005.20214159,high_expectations_asian_father
32787.2947794,-2320.48421692,-4691.96722202,6796.41326779,10007.6926348,5700.47935109,-3644.91002382,2117.2322219,-6232.31981933,-3618.7752439,3161.86927927,unpopular_opinion_puffin
21062.7106229,-9832.76727371,2343.46610403,95.2287883755,-2549.39242206,-1020.30214724,-3416.00444874,-4327.42883179,7398.94427665,12311.7796793,1653.6145811,unpopular_opinion_puffin
-11783.442156,725.02816987,-2651.71274429,-9392.90971438,8471.3639004,-8242.8533577,-8169.91151335,-7002.59391976,3251.10553952,-4930.96726169,10276.6975005,sheltered_college_freshman
225.476818808,12736.5426238,-6237.41993747,-959.039979708,-4565.21036186,1928.02321149,-2872.36760514,-931.67164227,-1442.56568365,1141.53721177,-3312.3552277,good_guy_greg
-14638.5818317,-1363.19635065,-5263.03580252,-3668.25504798,11127.4701965,4219.29709167,4261.15796412,6415.07687193,-1682.29072264,9037.35052712,964.359067712,college_liberal
-14815.490702,-2289.45030906,-4908.22767159,-4862.05737367,10852.3878851,4777.27810478,5794.90638869,7540.6967179,-2439.17060542,8396.10099254,1379.71432493,college_liberal
24905.0871758,-3680.81194822,-3945.93666014,4737.5946791,11800.0994427,9152.35926576,-3761.76458746,5338.61892081,-4035.52814247,-5036.29632825,3159.43042679,unpopular_opinion_puffin
-14686.0273845,-765.941285622,-5222.99061219,-3940.1210088,11217.4885272,4556.22963393,4475.75409234,7077.82403229,-2242.71344178,9782.89606516,505.142842257,college_liberal
-19418.7217788,-11746.668527,-8380.45065078,17503.1805723,1264.36101422,-2821.83370023,8395.70362103,-10127.5609686,1869.22619019,616.001912238,-2106.8714521,advice_god
-2318.45813271,12234.2592804,28.5386841121,-1936.39202421,-3890.16978153,1385.49189784,-2406.50647104,-1164.57395825,-1871.67104509,-5612.68409831,-7546.20622567,confession_bear
-17707.8409227,-8903.17432766,-7831.61984906,15593.6894105,2482.94077871,-3102.62465145,7701.24322104,-9269.78171062,2343.62348917,1736.80326954,-1957.74591591,advice_god
16908.985944,-13123.6191795,5449.68217582,-5312.59962842,-8318.73807686,-3411.76932369,-7775.73728946,-6978.70350181,6463.72048083,15176.4641986,-7710.94422138,lazy_college_senior
-5754.17597136,6785.17839184,29190.7898693,12868.5179161,530.849153126,-1474.11964243,-1840.59539144,6303.79672283,3165.09983258,-465.522281522,887.657629072,socially_awkward_penguin
-2817.13451318,7155.56924182,3068.69055018,-5640.05360517,-4417.81131449,-44.1433574269,1195.29024886,-1281.21017522,-2274.95698885,-3848.79335547,-4386.96517317,confession_bear
33722.3145894,-6382.64881095,-166.458899068,3559.29655711,4721.36333593,-1870.01223824,-1521.65835035,-7708.58788329,-963.410068305,3825.58100607,395.889386787,bad_joke_eel
-2998.05463829,14461.0267752,3130.65268278,-8798.29631109,10827.6956879,-9226.62607608,3593.92623774,424.077296685,5166.19549206,1144.18659331,-4219.17767186,bad_luck_brian
-3536.46506689,7525.05743188,-6441.71791792,809.944948317,-5746.62123446,12920.8990155,-482.267073454,1152.47249047,12292.2643038,-5463.21864137,3942.71505226,business_cat
-15185.2218589,-3919.19487017,-3263.63296821,-5028.70694675,9667.36505364,3203.46570258,5131.29097242,7210.62235186,-2008.11486787,8858.79259471,1995.26463876,college_liberal
2432.75518992,-13639.516783,1713.68634183,-1908.73444576,-6331.56519793,419.694502057,-9527.12332713,968.164679891,1593.56608645,6923.34331318,3281.12360152,evil_toddler
-1131.78616341,16310.0162084,3791.19973248,-7734.63887394,10726.4118526,-9191.83008929,5671.85436465,-399.186478581,4767.03598218,458.78750269,-5011.01114519,bad_luck_brian
5629.14124927,20145.4045177,2976.74667843,723.116298813,-5753.45435639,-620.34134911,3859.10151768,-7358.9930151,-8182.87934037,2847.01799858,4430.88879883,high_expectations_asian_father
-19047.3254417,-13626.3113692,822.847383289,-2195.34405833,-2339.88744893,5355.4512279,-2828.12734696,5090.2670019,-3025.54383111,-2803.13379459,-438.29857682,minor_mistake_marvin
4558.77792174,-11061.8505521,3435.52693794,-5306.53212596,-6765.32848166,-1591.59756422,-6348.52499662,215.501022308,337.938072216,6159.69658599,2438.63162618,evil_toddler
-3193.10801069,10030.2598988,753.632585509,-2257.38158596,-3282.10978769,7010.93655173,4461.3024588,1843.91818641,-6739.9361928,1443.1577658,3975.60222653,philosoraptor
-17810.6747628,-11982.086783,2789.34784484,-4259.08091865,-1181.28448955,1458.66279111,-2791.11529552,1015.58473355,-5281.17225032,-5898.95038201,-8258.21630727,first_day_on_the_internet_kid
21497.95151,-18927.5854754,9438.71719016,-12050.5045593,-6409.26524613,-617.968262484,15201.9769523,-1032.17299239,3473.96551963,-5162.18081565,3165.41592892,sudden_clarity_clarence
-3365.26919155,12064.8574868,-490.300471803,-2936.37839314,-2560.01761893,13.6349504438,-1060.4130955,-2474.48689545,135.246451126,-6279.54373299,-7671.13238634,confession_bear
29434.9934435,-1965.72166949,-5660.08094915,6198.0174492,8641.5136893,6915.44041466,-6362.25791556,2787.63632584,269.334188197,-953.15783912,802.949580031,unpopular_opinion_puffin
34628.7242671,-6600.05386958,-1668.0856673,7243.09314137,6613.57649554,596.036972178,-4815.78194876,-4480.74153101,-3581.60265707,-5016.55575476,327.564958456,bad_joke_eel
31755.9571796,-5883.59726707,-2541.59076082,3937.60405209,9875.7811626,1664.57352979,-372.839371904,-3674.37128769,-5679.74645849,-6981.43056065,-1938.11773274,bad_joke_eel
-3592.10356391,15219.8253619,3453.70932644,-9039.88702982,10481.1043247,-7289.88075581,2903.07889125,324.128280333,6645.6325526,1569.52463385,-5708.02038473,bad_luck_brian
-19285.503136,-11870.521639,-7689.93711763,17020.1845024,1463.42924654,-2578.4436935,7907.48610058,-8429.47021767,182.662116413,696.396661501,-492.713779299,advice_god
26380.8344796,-15127.5042725,2827.76392625,-1286.58756321,-6180.39270076,-361.152989751,-3060.83796786,-5232.63534121,6689.63483147,5045.44205188,-7469.97175248,sudden_clarity_clarence
-3316.67691479,13352.8480943,4272.05591419,-10411.3243857,10712.1618273,-9308.51895977,4833.66118418,-144.61726321,6400.75495799,1805.96989741,-5418.33285395,bad_luck_brian
-3625.83401122,15108.2290792,2308.60147209,-7010.7835045,11707.5628141,-6809.77230487,2132.69858296,1465.01437838,4293.50902861,-970.91533655,-5219.36165774,bad_luck_brian
-18180.3886545,-12710.0069068,3070.72412766,-4522.22167967,-1912.40840211,2441.64245644,-2824.6883324,1390.03597489,-5779.32301905,-7770.34481192,-6558.44499315,first_day_on_the_internet_kid
14212.5587139,-12241.5814407,3902.28401,-2747.55639716,-7207.23043856,517.4271438,-6369.25751203,-4223.30933809,6481.51919498,10025.7049072,-4596.79477451,lazy_college_senior
7583.95573738,-3744.24320984,-6196.48456794,328.269418326,-1949.73617626,862.138460156,-2634.61583384,1616.83961978,-3976.19856622,1278.33974311,2322.56826801,philosoraptor
-2554.7721123,11630.5733055,478.287662513,-2856.58577338,-4093.49726025,1921.89191946,-1124.73089941,-409.9093132,-2245.16629285,-5179.47267768,-8171.844919,confession_bear
-18009.3527128,-12679.8318436,2854.15714235,-4421.97400657,-1464.13659422,1029.15017882,-2876.73909176,1614.63824355,-5815.21537107,-6379.67518177,-7181.80763361,first_day_on_the_internet_kid
19070.6115306,-15649.3066993,8565.83082286,-7224.66068544,-3615.85166881,1126.78700193,9824.88678834,-600.624817045,-2459.74748553,1892.93572364,1418.08414246,sudden_clarity_clarence
24613.7883808,-8402.18519021,-10439.3075656,4335.9401748,362.212004782,13611.1198588,-6113.17089089,5429.53616871,18943.5071928,3686.34061043,-1704.82006559,business_cat
-17744.9521118,-10511.3368669,-746.809802903,1905.88207579,-2169.11594694,2807.57274931,-3309.34152785,1446.19821533,-1355.02524332,-4086.69987827,-2051.80559155,minor_mistake_marvin
5212.42704748,18924.8085698,4508.1387191,-272.476155129,-6804.04272091,1663.9085362,5136.38889555,-6170.41873785,-12338.1357373,3940.71147241,5722.43101678,high_expectations_asian_father
-3626.30944552,7285.53207658,-6925.7208568,334.629517071,-7834.47465395,-9467.20046349,2166.3491516,3562.06677379,1244.45497854,1738.98731188,-2256.94481835,paranoid_parrot
32853.0713242,-5335.27444273,-2692.74587309,4022.38530936,9585.04118648,957.270460016,-947.733850726,-5203.88499001,-3637.9203672,-5680.02708404,-1742.10333051,bad_joke_eel
31959.5792457,-7328.52013601,-900.276879213,3473.20988743,8781.67123394,1362.41574186,-799.41376468,-4081.45673899,-4361.7599969,-4405.25177084,476.914801336,bad_joke_eel
6527.03352395,21371.8332659,2630.95867375,239.18333267,-6517.72724151,2927.59191968,3880.98237024,-5168.63703972,-11335.8063776,2857.31071497,2204.36880171,high_expectations_asian_father
-14767.5500055,-1662.8287461,-5285.67876465,-4384.60024769,10888.7549938,4527.21293585,5051.5368858,6798.0763816,-2367.90209897,8730.83225113,1482.59147059,college_liberal
-11262.9231349,1582.63538666,-3390.50522261,-9306.18732752,9372.67547708,-9313.86163085,-7506.99083996,-7936.73242693,4224.36989328,-4095.14485234,10489.6629914,sheltered_college_freshman
-7313.04928824,509.45414046,85.4198638917,-3065.52313334,-2980.09399744,-3983.79045915,-7318.78328528,-4501.98970646,-4007.17556043,-7816.06746971,3307.06417486,sheltered_college_freshman
24819.6102525,-5789.82473052,-4761.48263111,6175.13945936,14366.7068885,8890.0389984,-5706.19766808,6999.68826873,-7030.66020601,-7302.77199827,3368.31809529,unpopular_opinion_puffin
32121.6794931,-3827.45033311,-1122.41777518,2322.45568231,7742.46400902,120.176471581,3448.63013421,-5077.41481135,-1609.68835759,-3738.72380008,-908.826236822,bad_joke_eel
-2481.66424718,11631.5799761,-220.073129382,-932.717631549,-4014.22207467,6244.65548482,2435.83694646,608.694468561,-6493.36484733,2543.96104386,3032.82616117,philosoraptor
-19032.3010374,-13851.4330083,1958.83982552,-2888.29695184,1816.1202931,900.459853059,-2378.21116772,666.149819362,-2836.62774209,-4233.32085714,-4177.92260827,first_day_on_the_internet_kid
-2765.43743766,13207.3932697,-6213.95648846,-2646.07800036,-3556.37331109,1826.53799235,-4803.83864642,-2634.24939166,4528.58301836,3004.33501987,-4561.92695114,good_guy_greg
-2880.95648424,14343.3030495,3469.50281772,-8190.10107943,12104.5756526,-8987.51745765,4233.13672386,-239.05761367,6351.51791462,964.857172618,-4853.545813,bad_luck_brian
-19165.7940845,-11742.5368898,-8589.70171776,17449.6253128,1823.90718871,-2546.20439063,9304.86433742,-9175.82080018,1783.17059424,897.30316022,-1252.75630491,advice_god
-11116.2413147,1809.12215634,-2660.73293735,-8777.52288245,8902.06328001,-9337.67929094,-8100.61414214,-8160.45902532,4594.62303333,-3994.18798696,8872.39359924,sheltered_college_freshman
-7423.45621383,-96.1014710241,-270.836268511,-4135.42219095,-2882.01332647,-2641.43320231,-8112.25970807,-4272.35311914,-4949.41413532,-8986.13189382,4578.05660529,sheltered_college_freshman
-18731.5228566,-12352.9792587,-600.803771918,2162.43834279,-2485.87677841,4463.54738455,-4084.81515037,2863.27331538,-2305.30620159,-5833.46831309,-1470.10977691,minor_mistake_marvin
141.840587493,15760.9722049,3963.28988312,-2659.28124783,-2405.68231245,820.867041803,3354.45036033,-3708.04334295,-9674.71870711,5719.71254998,215.852246525,high_expectations_asian_father
-15070.8401184,-1707.0509866,-5088.48947349,-4172.27784804,10589.4912608,4843.11803241,4136.19013069,6764.11184619,-2758.9111763,8889.63109326,571.332834001,college_liberal
24311.2578418,-5730.74058958,-4285.44284414,4919.76896611,12209.693216,9937.32685583,-6058.08290324,7458.75863794,-4418.07264438,-5826.61078396,2089.0868832,unpopular_opinion_puffin
-19276.9034022,-14813.317818,2577.42321561,-4540.59497122,-137.458682979,1595.45232558,-1312.22310449,877.196972107,-2406.06213435,-4246.63958736,-4635.7211983,first_day_on_the_internet_kid
-15109.2761919,-1946.04177048,-5064.85449532,-4055.62473974,10713.67283,4595.25247692,4736.95282286,6656.44165733,-2465.44154199,8356.61418498,1076.49300008,college_liberal
-1751.45291293,12594.0718074,-158.896149949,-1577.22052851,-3978.50838049,4924.36906091,3768.36532153,-393.20147338,-6389.21169514,2364.31281232,2687.67039454,philosoraptor
-3386.67318297,14718.7661182,3128.36064579,-7824.27434606,10845.8078401,-7816.81494278,654.886768332,-1081.21255095,5445.00644788,-104.090375999,-4195.89599832,bad_luck_brian
9087.40740107,5815.13505161,-8493.88007163,-3198.29584411,-3647.08966299,5071.82653592,922.912959056,7332.48775176,2552.91380782,3673.21662628,-1311.36490278,business_cat
15619.3617455,1639.34100265,-14210.4089969,7311.04312533,-3776.52447149,-16283.0985281,3607.04396856,16218.8352423,-1108.2364389,-2209.81603283,1204.72233228,paranoid_parrot
-19674.6682123,-12424.1643856,-7003.11127872,16960.1282352,580.172700708,-1520.30928412,8403.16847904,-8326.47478645,1266.88043736,345.899905455,-910.500548437,advice_god
-14994.1059318,-1294.75373092,-5320.99698681,-3658.07164572,10761.8430703,4700.83864504,4841.14461135,6560.64174217,-1652.68817398,9648.35233822,1267.18532254,college_liberal
-7968.28878398,7211.40264809,-1088.78086306,-2886.76898156,2781.73804564,2346.54647244,3394.95383513,834.238731791,-1562.45034745,1674.13439448,1319.25228434,philosoraptor
1004.82831792,-13144.0980278,1454.97186119,-3154.67063973,-5580.25897835,-686.316735091,-5827.29104942,1095.89924968,1467.37101224,4237.87819628,3368.67387437,evil_toddler
-511.566922909,11711.5794685,-343.73615159,-1169.65248826,-3208.66093041,4483.62664674,2882.0484165,407.40967354,-5634.36555334,4429.02873065,1874.01804445,philosoraptor
1102.64806484,-12877.02358,1141.38510664,-2657.77797635,-5752.40679072,-630.921235548,-7946.18603695,1006.80210394,2635.88323625,5767.38526611,2612.33182929,evil_toddler
-19416.9706091,-11686.7202407,-8715.09640762,18096.208689,2792.11747092,-3840.64952584,8935.09767216,-9498.30440152,892.835804392,1572.43579345,-754.584806671,advice_god
-1650.1212276,12079.4406218,-5067.45830099,-2713.81495682,-5910.89020268,1022.0781417,-4197.94844067,-2987.14221537,1867.78746386,2107.6154756,-3213.69602055,good_guy_greg
-2436.85677015,11068.0486962,247.963955923,-1196.58850532,-3873.72027373,6233.59854789,4139.08461378,999.6923098,-6322.70352627,1491.06102064,4460.17793256,philosoraptor
-19180.9441977,-11032.702841,-8346.19573776,16840.5260475,2417.32999974,-3504.43419028,8122.2479349,-10847.8064323,1660.67100872,1460.48165301,-2520.01992708,advice_god
-14818.1431569,-1297.63475129,-4696.86098303,-3325.09339697,10504.2771384,4266.90660458,3788.6458394,6831.34261638,-1629.60041108,9092.10892116,274.772570871,college_liberal
19002.2440018,-18427.335417,9630.65117303,-12934.4999221,-6463.48421695,-1560.91265013,17537.325556,-2813.13254555,5735.65301013,-4850.18859768,5303.24831015,sudden_clarity_clarence
17232.1786097,3517.14528474,-7000.97371658,1504.9489854,-3040.98600658,-744.984796534,-6703.05864974,3612.91968821,-4.12984513608,558.365809167,-4646.9019307,good_guy_greg
18440.4116709,-18796.2805699,10131.2384122,-12264.8533517,-5241.72306805,-478.218500625,16219.2548301,-2059.1800449,4468.30330045,-5282.31739116,4681.70447849,sudden_clarity_clarence
2258.50235011,-13387.564898,1301.41685103,-1866.42606147,-5074.80135045,-1681.73650313,-8390.89871564,1239.24161499,1428.16080634,6387.14941185,3164.08325525,evil_toddler
-4565.66721705,9591.45766473,1646.35664834,-4035.48151164,-2937.20206981,1099.20968904,179.785680509,-429.681583839,-3415.13973886,-5265.18729282,-6449.94519409,confession_bear
20384.3629133,-18332.6577668,9968.65100807,-13198.0639402,-5653.60681048,-509.710836773,16954.3700861,-2341.20194256,3558.58946112,-4950.79826281,2840.64716044,sudden_clarity_clarence
-2692.02085441,10849.2795183,-8167.97173023,-63.5242047509,-5221.75035113,17082.8933845,1502.90501634,978.320115148,16397.6544741,-4634.23727009,3903.08415557,business_cat
-50.6042694277,12266.8241719,7068.98298117,-1299.84950881,2328.34537226,4716.67766495,3779.04759457,37.473631564,1956.39638957,-384.662069117,-840.031351811,religion_pigeon
-18367.6278545,-11211.3014997,-1025.10581075,1770.47439755,-2576.44151939,3615.52123022,-3637.05588075,1897.5013141,-1482.60861593,-4661.01187611,-2221.77413541,minor_mistake_marvin
-17527.6011824,-12094.7470005,2469.48418796,-4290.02712847,-190.258986227,884.527912738,-1494.51206778,1554.89151469,-5834.19796635,-6375.68686451,-6900.82473544,first_day_on_the_internet_kid
950.312267189,4428.80854823,30422.8039375,13611.0880603,2921.40473954,50.8431777881,-2907.04235001,1255.24147632,5033.47053331,3856.6047697,-509.877527223,socially_awkward_penguin
30476.3829863,-3877.85418702,-5270.23368079,6209.55891904,9666.94293495,5945.60233927,-5830.96886053,4214.88345538,-2918.45769539,-822.866412771,757.80842331,unpopular_opinion_puffin
-4982.04815033,4177.33447519,-4852.91155958,-2012.97707043,-2610.80137671,-8372.75339658,4540.32117306,3322.95422271,-905.001585198,328.118410202,283.434082458,paranoid_parrot
-18428.8510037,-13052.8356159,2942.9318283,-4255.76538034,-1595.7449415,1845.31759107,-3981.34184448,975.895940297,-5114.03226831,-5608.22472661,-7290.51174776,first_day_on_the_internet_kid
522.038677129,11732.4457363,-5993.69206946,-2826.12190776,-4071.56174186,2136.90786862,-1133.48903339,125.878509463,-1274.62732344,-1622.04801786,-2592.87016576,good_guy_greg
11146.6295819,-13914.1216243,4557.74094507,-3844.73148101,-6615.70951514,-23.6101786067,-7846.35937867,-3087.74770341,961.887643092,15942.70346,-4042.59653804,lazy_college_senior
