a,b,c,d,e,f,g,h,i,j,k,l,label,m,n,o,p,q
30393.3436233,-3799.79933312,-2208.89719153,4519.04398696,9841.99439565,2236.23332328,-1108.17837439,-3233.30878166,-4853.32509578,-4736.8718473,-1223.76750986,-3296.61173974,bad_joke_eel,4674.33967643,-221.451965979,-6854.07539061,146.249811637,-3010.56486866
586.435215239,13322.794449,-5690.10749277,-3502.88703095,-5266.25369093,1314.5549353,1138.78226496,-1607.86627776,269.205890164,-1001.8511981,-2465.42135771,7104.16642172,good_guy_greg,7431.99186438,-1399.93411459,6461.70729483,-6719.57378353,-5656.46067847
6412.49124577,20460.2584055,3226.48844531,-71.8496902924,-7990.59168683,215.711042852,3124.83560404,-7490.14472527,-8878.43373354,6966.34795741,2419.19133991,-3367.46114287,high_expectations_asian_father,-3577.73843921,6175.60388639,-2336.79894328,-1063.71466739,-1679.60946436
-1957.3605525,11864.1386632,20.7909780995,-2052.36225616,-3683.5890866,5236.94459832,4567.24085586,605.759049721,-6068.66345782,2934.26817391,1855.46727843,-50.883644179,philosoraptor,-1098.27410281,-4382.45918533,-440.063885757,-2655.70733965,5545.58264533
-8378.67015125,4108.34475989,1970.17838918,-4906.48106194,-1622.6161112,-685.081434903,-1978.5176529,115.03506175,794.137929287,-1146.44830337,-7123.20343411,-3100.81452274,confession_bear,-4812.52919513,-3696.1617583,-2456.15891813,6629.48893396,-2067.08187458
-2197.89715332,11403.3974124,-8164.87632772,197.737824445,-5469.700478,17315.4997886,1350.77439511,1093.24869875,15924.6505903,-4841.59268767,4298.71029549,-697.623973215,business_cat,-172.305834006,2353.18183228,-4708.86976301,-377.87640124,1324.98214532
93.1494500445,-14165.8748529,1853.34273881,-2570.20683963,-5166.04689554,-1047.08887217,-6647.52767626,1825.86486761,699.034192236,3590.25428684,3598.68912857,4949.7844321,evil_toddler,-1947.36937747,-5884.59296775,-3885.94213655,-1089.71177093,-2862.89969354
11028.5265158,-17155.9196336,4821.93201477,-2300.02017328,-5866.52675471,-880.241937998,-8131.10893006,-1567.27788368,5260.40264776,6785.4724092,-3579.64336436,3858.202664,lazy_college_senior,-723.555591868,-6310.68650915,640.790332072,143.497813993,2084.79255981
-2479.23303863,1964.49920929,-1832.62805338,-1739.0973259,-4041.59645212,-657.494804097,-2296.12857563,-830.198334531,-912.308619911,-1369.29585883,-6477.72622854,-543.839819593,overly_attached_girlfriend,3642.03658754,7557.90333869,5132.87821384,-2286.28947844,4542.84337526
-3011.83576338,11149.7197909,-8217.62195009,1646.25481694,-5358.36279026,16293.1601337,-651.225746148,1438.79206446,13363.0611225,-3781.77116632,1744.85885046,-755.699725837,business_cat,226.545984538,1780.15726806,-5375.41605962,-1040.80218718,1791.36121686
-20148.1813105,-15057.1823575,2989.24881543,-3273.94733977,-44.8224275329,2740.57225139,-3356.21097145,1569.0721381,-2368.60275187,-2208.44810346,-3004.75035136,-1359.52489824,first_day_on_the_internet_kid,-1119.87898905,5637.76619207,1198.34958339,-4363.66408879,3046.9217299
11680.7804733,-16776.2818343,4031.71524505,-4201.12968708,-4752.86889043,-72.8687845814,-9612.63719105,-2011.10934729,1418.42004162,15600.1287941,-5386.25061864,-633.904590566,lazy_college_senior,-1173.93131673,-7253.30168592,-1859.1175883,-1009.19842436,7398.63112438
18486.9611079,-13770.1841984,6780.19184608,-8971.22080003,-6663.63953863,-846.169706727,6755.08284641,-3349.04432639,4308.61393672,3379.14857439,-4001.53685594,1785.37540725,sudden_clarity_clarence,175.414116761,1049.60295268,2454.41805873,-615.165861556,5376.27363999
-2221.6813689,11572.7540825,31906.3325328,14796.6743345,1394.52790909,-1342.64085628,-2507.91147754,6236.38014025,4492.96090596,-1406.57221493,2379.58761362,-1185.36660659,socially_awkward_penguin,2354.89343066,-284.540074215,4508.42002649,-677.361141273,-1157.1435718
-14259.686817,-4964.73971838,-134.718241141,-7628.37510479,5215.32472106,-4604.13699508,-1453.54663007,-329.802005763,51.402328715,1263.28383059,5284.89847468,1586.52240142,sheltered_college_freshman,-366.7607916,-2780.02200856,-2060.87162377,-997.774247918,903.393715107
-3057.80414646,12062.5621348,4809.7141588,-8591.39516018,9240.49484525,-7900.01536257,2958.86372744,696.440563332,3737.01117715,-2385.92555726,-4396.7707579,10400.8315335,bad_luck_brian,33.4763499308,-185.29019687,-6553.11733456,588.239688659,885.336595382
15824.4435425,642.442664205,-14624.409815,6719.40252932,-7001.12573619,-16247.2831272,2549.12126177,16311.1719084,453.689019355,-1931.19314323,5.12048629605,-5150.78540274,paranoid_parrot,-2041.18429967,-505.668477723,-408.066989452,-1959.4329487,945.183315719
-4216.94230328,7287.01022439,28539.4337423,13304.9126606,1645.55378495,-1113.36692747,-1183.39010281,4834.62964684,2467.63629806,-480.268924192,1083.56415147,-2317.94578267,socially_awkward_penguin,1473.15676588,-1291.96823325,2435.05908365,-2622.67013684,-74.8271377807
-13719.6171464,-6037.7408452,-52.505664562,15.3214793541,-2132.71735961,-3214.06731493,-2798.37372152,-320.317453009,558.237559212,3433.69941768,595.835381005,-1014.63240858,overly_attached_girlfriend,510.066374182,1991.24995198,2946.78592148,1302.29120431,5243.67888282
-8442.8215565,-11507.9408378,5142.77995254,-7712.48793352,-6409.54183828,-1087.30953695,-2602.48294425,5971.55332955,-4975.7269998,-3293.76145113,3863.81155644,7663.51551872,minor_mistake_marvin,-2669.42912261,-2256.41029362,-4577.49648284,-1981.31489517,-2331.4323235
-494.444940851,-6671.42583749,-3059.86409698,3232.77778281,-4019.26048962,128.39007317,-5084.65505614,2012.91001923,750.238150974,8.34019884299,847.943688938,-215.262423948,evil_toddler,-576.882910758,1876.00210072,-1044.10490795,-657.647651368,-3598.59125628
-4479.53270341,8593.90819631,-7049.90332649,1548.99292273,-5532.3044315,15113.8674936,-2378.2158631,1837.82663206,11654.1335809,-2799.42577724,2733.08953706,-385.277969372,business_cat,-2071.40667063,942.911355239,-6674.94603815,-412.430724273,1248.48760799
-11335.5232602,1739.72348504,-3348.41697205,-9383.53009643,9292.84899129,-9602.67941084,-7300.57169343,-8289.45120611,4768.81773822,-4020.59942004,9874.10028876,-5159.59168974,sheltered_college_freshman,-3877.89586743,-156.494304907,3727.17721866,-2267.1370003,366.962050691
2031.33684059,20805.8213354,-129.343398713,-718.756995567,46.3300019966,-907.285460839,2001.64222989,-6112.63010155,-5452.47971384,3383.98190819,-3050.40738603,-3590.94698868,high_expectations_asian_father,-4261.5754615,6411.35932735,-4330.00350469,4086.9687827,-3451.2284554
-3793.93253064,11731.0725437,264.949535191,-2820.61885718,-2682.97762324,172.709632984,-2689.4790477,-1263.9893295,-2343.76098378,-4389.41667256,-9237.6846663,-4473.04877277,confession_bear,-223.912945127,-9455.36332442,-300.793331459,6379.70533364,-929.62765774
-14949.0454768,-1186.91978321,-5245.37105406,-3979.7135035,10797.8493564,4760.15741876,4839.80122977,6947.54114833,-1905.38449494,9319.491682,1252.91023378,-4596.04834668,college_liberal,4342.7241649,616.475140673,3114.86277191,864.880965841,-2262.91093012
-11302.1624276,1560.63343316,-3459.11290463,-9625.25966362,9631.21180902,-9670.14648294,-8022.14659963,-8475.77788499,4287.61924259,-4074.81963121,10471.3626231,-5535.62448096,sheltered_college_freshman,-3723.2744992,-871.900386299,3743.81651281,-2111.42335861,1020.08102369
-11397.7049263,1544.56044217,-3204.09891527,-9072.67223184,9421.4415503,-9318.18646391,-8579.33041935,-8287.0052645,4438.36274026,-3634.52184256,9595.41624867,-5992.22506007,sheltered_college_freshman,-4067.84777574,-563.517072371,3872.7490689,-1938.17502332,1202.85734001
-4203.30466297,6239.97241277,28865.3289965,12770.2998652,1812.391801,190.114532007,-1498.36585655,5561.67014777,2037.18227235,-68.7223537042,1195.80922555,-1144.07946502,socially_awkward_penguin,470.829946745,-683.500070982,1199.52261147,-3462.4689821,-1738.19723286
15214.9043807,1153.63535853,-12861.1037417,6853.15490236,-8275.84944667,-17523.176234,1384.28315589,14644.979693,4949.58097701,668.196193367,1262.58065113,-4596.74354336,paranoid_parrot,-3172.02998585,3175.95421727,-640.53601079,-532.16936261,-1324.85431564
32887.8529977,-5448.9642321,-1923.19505589,3566.90123873,7373.21476102,1230.77709316,-1993.96215316,-5256.01846838,-3260.09348906,-1434.80579901,-3738.8779934,-5145.94214403,bad_joke_eel,6904.01819941,68.0238676412,-5849.05561125,-1283.74775589,29.2392957428
-20387.7635502,-15869.3102536,2934.18729928,-2899.62043139,-207.93511187,3214.47558597,-3382.94441493,2317.8026201,-4450.25761693,-6046.19862447,-977.736166952,-1975.50227802,first_day_on_the_internet_kid,-989.634602331,2535.58641348,2112.68934177,-3676.8176931,4226.1279942
31210.8473289,-4485.29932497,-2958.84098686,3741.63831741,9121.31559729,1048.76421034,-2027.74990224,-5339.51157313,-2001.54896933,-4334.92292968,-2286.949877,-6700.82812857,bad_joke_eel,6082.25029097,-504.653438954,-3678.91445404,-974.229743374,121.955347878
1365.83969444,14082.5126968,7662.88424582,-6815.84663315,4718.33176647,-8825.74365237,3444.39407432,-2647.18930613,-217.219628648,2699.58088762,498.488871928,6151.96845166,bad_luck_brian,-2151.95842699,-2191.37534489,-6417.92500601,2849.47260167,-338.541823608
10583.0656605,24980.025415,-859.237488171,798.108350709,-7643.4325866,942.845382168,1688.34520384,-8576.31000927,-8220.84933828,7978.87704499,1423.17732204,-1669.0194909,high_expectations_asian_father,-4384.76819523,9719.09340344,-2607.19833392,-256.572123191,-3241.2288155
-2383.7464325,15444.3587979,2564.52779473,-8015.65352445,12976.5016739,-9046.68763197,3707.66925238,272.606147977,5225.3539142,-941.996880555,-4338.07933317,8569.58412541,bad_luck_brian,1604.66539693,1561.87892212,-5954.94534464,1418.28813116,663.802216814
-14677.4707507,-1700.70139026,-5046.92424449,-4430.97818176,11147.4364671,4440.94165583,4445.43767007,6725.61931937,-1913.89457596,9718.68546399,730.147669254,-4489.60291159,college_liberal,4653.78534443,1178.64657663,2318.33657442,570.252150076,-2879.73870212
2500.09196338,18629.8759186,2741.3810731,-1672.85248894,-4803.25964534,-321.25883526,4037.96480528,-6304.95046215,-7872.67027931,3236.41022697,-1516.2798843,-723.708758652,high_expectations_asian_father,-5128.71511864,5544.81853657,-5071.12076812,3728.1337282,-3975.81378465
-18472.804168,-14821.2038445,982.013074853,1095.82789385,-139.91128143,3240.00102549,2140.53915658,3421.31734229,-1439.82871135,-1005.57705147,2083.84202953,4016.43834624,overly_attached_girlfriend,1175.49743579,-2473.46623276,-6330.30560705,-2116.81737828,-809.507323423
-19263.2893809,-11493.8199504,-7408.00726238,16017.3487117,1014.37771441,-2798.74971152,8192.46360331,-8632.99836578,2385.35090911,2822.72700419,-885.811828431,2963.14692403,advice_god,-2483.51931014,-1477.42217184,169.351539927,-215.976475446,-3076.59319331
-2778.64188419,11557.0284715,-23.8533191837,-1436.7732766,-3441.75798676,6389.12827296,2715.3349528,961.34478247,-7472.8118666,3140.83560991,1770.804531,406.671061608,philosoraptor,-2038.07553676,-5693.96050158,-507.55321685,-1700.66206629,7357.13739259
-2145.15544212,10730.1458904,1406.33172332,-3250.74955423,-4611.88687398,278.79064994,-2829.79836217,-2288.6509995,-1611.35496312,-2834.6657427,-7721.9991251,-5207.34614824,confession_bear,104.479083441,-6959.14932495,-362.000688167,4017.50625609,-676.487478563
-18118.6689834,-11245.7512446,-291.752374769,-1435.02891432,464.514985325,2956.09110457,-1478.32347784,4642.11190483,-2958.69618868,-636.770772982,1477.74020326,-118.19177376,minor_mistake_marvin,-1408.92145465,-1707.88019338,-5605.81226173,1518.65445324,-2233.60287555
-899.525373422,10636.5277722,-191.203119998,-564.837382914,-3576.52395535,4725.33082433,1432.81238147,442.366467852,-4279.14880715,4191.72085337,2481.77869057,-1990.27921812,philosoraptor,-2721.48151826,-1177.06583685,-236.441429013,-1012.67497492,902.937399472
7958.30040664,21342.7934278,2839.60307259,906.554810279,-7348.64362604,148.047943777,3295.89952563,-7680.61725743,-10018.5870238,5551.46545265,3072.69022263,-2621.99433984,high_expectations_asian_father,-2837.58855273,5928.69956083,-3018.18105077,-1475.1325943,-495.906517593
32787.2702929,-2320.48971516,-4694.47651248,6800.23240798,10023.9303716,5699.29497148,-3703.78870851,2129.48895199,-6264.15984242,-3529.68728572,3301.20167868,9631.95217075,unpopular_opinion_puffin,-3184.73981152,-89.423914296,411.002402202,2789.24927224,1348.50049593
21062.6704156,-9832.7755949,2344.70445756,102.400785648,-2530.82459843,-1023.14919254,-3473.19532074,-4343.93618392,7424.89990521,12400.2435768,1485.4037753,317.29136654,unpopular_opinion_puffin,-2848.31126686,2446.64169871,-637.555824975,1051.91200456,-642.323102719
-11783.4395717,725.079309867,-2651.91756546,-9395.19680109,8470.72471052,-8236.37949487,-8180.97121841,-6998.98427101,3225.77258344,-4963.92593006,10153.7394238,-2951.5917072,sheltered_college_freshman,-3513.83307331,-2618.86984161,3910.04939216,-1495.68051494,1781.42575241
225.451217087,12736.501966,-6239.72480063,-955.05529512,-4559.77287367,1920.01150616,-2876.7022584,-893.714356693,-1389.41533595,1226.66038742,-2939.43281389,5245.17916487,good_guy_greg,4514.26189678,-1507.45111082,6336.19905976,-5811.60455192,-4985.49045165
-14638.5849393,-1363.22554729,-5264.43142961,-3668.32399519,11124.0646643,4214.235013,4264.31548911,6411.45777847,-1660.82142893,9057.31544046,1202.58914376,-4667.80412245,college_liberal,4211.14395405,827.593896396,2792.24158756,566.43148896,-1788.51371289
-14815.5063528,-2289.43494822,-4910.24162893,-4862.69036026,10853.6025452,4775.35652442,5786.83744801,7518.63148556,-2417.35793101,8421.4231188,1622.82918237,-3376.2048692,college_liberal,5252.93430894,359.811852595,2548.56172681,789.734124774,-2559.09354761
24905.1206373,-3680.79716172,-3941.77392134,4735.90369157,11786.7615843,9154.32269412,-3710.13299885,5303.19786574,-4041.84461702,-5102.67497652,3133.71597211,10593.1692435,unpopular_opinion_puffin,-8324.45578535,1448.50895087,6970.13808591,6163.07573429,576.586268578
-14686.0626642,-765.918498057,-5226.10715027,-3937.42189832,11224.5507354,4553.07253317,4460.56500946,7053.73294472,-2199.55353261,9832.06134775,743.409837346,-5384.98902935,college_liberal,4315.10883392,750.671359192,2988.88731714,1223.81986023,-2915.98621427
-19418.7247362,-11746.6497247,-8381.55824618,17501.7687592,1263.8191707,-2819.99179687,8379.63821166,-10133.8677757,1872.24152922,601.636403452,-2040.75419149,2712.15639078,advice_god,-2057.0767323,-2784.10946282,2122.03825802,-31.6612067398,693.058745622
-2318.45962905,12234.2878403,24.2538778285,-1936.38270158,-3882.18720439,1407.41133277,-2401.9283573,-1201.17913074,-1840.06101787,-5678.30473645,-7337.24878069,-4572.33444853,confession_bear,308.758933309,-7573.449802,1291.99566215,5160.03007088,-2501.92192786
-17707.8256984,-8903.19864581,-7832.21898,15592.4169708,2475.85918747,-3095.23838931,7707.57716652,-9281.85222399,2357.89855914,1691.95078331,-1844.63918568,1531.05021392,advice_god,-150.161591836,-773.223700601,696.517331508,-695.672019235,2457.31599235
16908.9907494,-13123.2925177,5451.49361903,-5322.04985157,-8336.34706354,-3398.30751449,-7774.78947592,-7052.08552681,6406.10044376,14975.7263651,-7705.99098796,-79.7719954256,lazy_college_senior,2706.86563462,-4528.16910085,791.05690286,-2566.67071983,8424.52583428
-5754.16297951,6785.12657268,29193.1758205,12868.053001,530.68794794,-1488.31611473,-1831.46806483,6333.03195916,3145.19938863,-452.331312724,732.650056035,-292.751074546,socially_awkward_penguin,587.809391515,658.939841538,1685.49503771,539.184655319,-832.523018448
-2817.14182931,7155.62855521,3068.60988082,-5640.14027641,-4415.572996,-25.9342798524,1190.88982441,-1353.50026128,-2264.79863841,-3897.50272429,-4211.99087502,-2449.14488535,confession_bear,1366.57487309,-7896.30418321,844.060182173,1492.6369596,-116.479541536
33722.3022949,-6382.83869361,-163.56939121,3572.82882548,4747.76550457,-1887.65047902,-1551.35000453,-7680.01876871,-954.828611152,3954.98875643,155.225605832,-5025.81698755,bad_joke_eel,3283.64672178,2576.82010157,-6471.17346911,-877.54255552,-3677.68026278
-2998.04622427,14461.0675172,3129.30206349,-8801.07531998,10827.2270072,-9219.6218255,3594.85415633,413.091778331,5177.37875263,1092.86775566,-4133.99405406,8264.85989364,bad_luck_brian,1370.55164792,1097.66150999,-4894.87155802,791.575571669,960.934444176
-3536.47679683,7524.99283736,-6443.46096378,811.560757215,-5740.33727781,12929.8002635,-505.200248238,1134.70991246,12296.1459935,-5495.08586921,3920.81643608,-2110.77740969,business_cat,1350.14791424,1199.57994461,-3071.80567826,-389.577590917,1839.44446246
-15185.2310538,-3919.2283196,-3265.52379611,-5028.12008011,9670.70776313,3201.79039677,5124.63349786,7191.48626617,-1972.22884548,8888.00649319,2206.92369344,-3047.79192173,college_liberal,4317.01871979,813.186769386,1474.80522137,397.532094041,-4781.61838872
2432.711148,-13639.6246272,1711.91436896,-1902.78446343,-6330.90243017,418.538844348,-9547.31993018,961.955007664,1652.76333316,6991.8558508,3462.87842117,3657.36478813,evil_toddler,-3778.41734603,-5084.64007378,-4858.14072306,419.535621039,-5499.95893176
-1131.79241813,16310.0718634,3790.07615155,-7735.24269235,10723.7858023,-9185.30368538,5662.4999842,-411.74338813,4771.50048734,453.095121394,-4814.71634525,8675.1168313,bad_luck_brian,1656.21537049,1398.98515498,-5310.07536843,372.081114444,-1383.04348632
5629.10582601,20145.3479484,2974.29036695,725.535182279,-5746.22807459,-614.353288062,3833.90602797,-7427.89484621,-8153.18954735,2847.38414197,4268.46693739,-5074.61501751,high_expectations_asian_father,-4524.75428343,8093.91717357,-1967.34710904,1063.77747423,-2595.60150348
-19047.2820274,-13626.3278408,825.123496849,-2200.10524074,-2350.07026264,5347.79051053,-2764.84785838,5116.27538282,-3059.62002249,-2887.062163,-601.802749783,1063.27639542,minor_mistake_marvin,-2724.18526521,-2018.9282671,-3957.86381598,2389.09278364,-1784.30868336
4558.74098566,-11061.8672551,3432.1467542,-5305.15695605,-6765.23091443,-1586.45034914,-6360.82710062,179.785121502,402.41349259,6167.73542368,2569.57991293,1322.03325877,evil_toddler,-4191.47396132,-5236.41486173,-4428.52455033,-596.039303428,-2525.12851655
-3193.09943284,10030.4704506,754.100377313,-2261.53168302,-3291.32934889,7012.74632795,4466.1751422,1873.85454695,-6750.07870201,1486.59155826,3813.49915029,791.04399919,philosoraptor,-2491.21694878,-5522.20193633,560.393123474,-1467.04689519,5210.66076693
-17810.6917024,-11981.9794705,2790.90549766,-4256.18750002,-1175.15411633,1472.68843594,-2806.86030342,954.634885779,-5313.97448938,-5926.57195496,-8321.18360132,542.719716298,first_day_on_the_internet_kid,-469.206947341,6836.08832124,-1458.69837381,-5042.59440458,1715.02037668
21497.9399511,-18927.5835971,9437.82834262,-12048.5484514,-6400.82325297,-623.529391807,15193.7334687,-1031.82766161,3466.90762908,-5154.81751754,3280.87458551,-947.169578932,sudden_clarity_clarence,1236.38148427,-267.992168402,4643.42281411,1363.251977,-1267.09673169
-3365.27977112,12064.8593619,-490.167388611,-2932.72555343,-2549.13833311,36.7670443096,-1081.84555155,-2533.64823568,146.417922619,-6324.73452146,-7811.51436021,-6826.62533904,confession_bear,14.3359099653,-7389.24903197,2396.57132101,7190.90792527,-938.338849275
29434.9944355,-1965.66196538,-5657.23908188,6200.10297156,8637.12128391,6922.54597893,-6346.19095602,2737.81682603,267.449730255,-982.6638936,711.419236409,8135.43313243,unpopular_opinion_puffin,-8849.81601046,3611.34527159,8745.83235111,7630.96957008,887.816734808
34628.7177917,-6600.04595391,-1663.40708497,7242.6543287,6608.70899184,594.906411507,-4824.07852318,-4494.61471684,-3604.57733855,-4954.90045638,240.631695778,-3656.73162764,bad_joke_eel,4504.38547717,1954.20501385,-5197.73435482,-14.5727802697,-4379.41425755
31756.0057989,-5883.75593442,-2539.7934332,3936.14377148,9866.77208869,1657.30689478,-319.540011114,-3630.68238583,-5687.22641745,-7024.76398472,-1985.62159726,-5947.71605607,bad_joke_eel,7143.17883519,-2827.09689854,-4504.35027815,-2146.53900766,-1197.01342225
-3592.12790577,15219.9552843,3452.30528964,-9040.92096192,10478.7118739,-7281.15340094,2901.16550994,297.153376881,6658.08488497,1522.57742283,-5591.39141102,8835.11403768,bad_luck_brian,-631.910328188,2022.81691546,-4076.67017752,2157.54028002,2290.29343477
-19285.5028965,-11870.5218966,-7691.94101342,17019.678544,1466.09848567,-2571.22826332,7903.32316247,-8434.55579284,214.400065548,678.747471548,-439.07241095,2978.76678042,advice_god,-1758.13441029,-3442.42856377,455.352188462,-215.778458654,492.565979205
26380.886241,-15127.8501542,2826.51082882,-1286.95944038,-6178.71995823,-413.285403741,-2946.94917877,-5121.27135577,6793.7481227,5052.49490283,-7698.22022931,-6773.61544811,sudden_clarity_clarence,-7764.86370717,13442.0866486,5616.06674076,9396.66492846,-183.27631649
-3316.6906464,13352.9473135,4270.687871,-10412.3924836,10711.814565,-9300.84125311,4832.79242704,-181.33474203,6417.33600102,1751.07007939,-5261.73647585,7708.69278802,bad_luck_brian,1089.70050233,469.086173835,-4353.62890016,803.202867577,3400.18301029
-3625.80398295,15108.1890913,2308.94056002,-7012.88897722,11707.4069602,-6816.72556695,2183.25295445,1494.01254868,4314.97577886,-1045.95423227,-5228.23053209,9163.49009848,bad_luck_brian,-928.132040117,3060.1629449,-4732.57616615,2835.89435926,-1063.73190552
-18180.4009179,-12709.8729822,3072.3882986,-4519.42313176,-1903.97774066,2459.73917185,-2841.69419896,1336.88040289,-5807.79162165,-7792.19862943,-6730.67367712,611.272594196,first_day_on_the_internet_kid,-1795.20915508,5024.28260197,-977.321139144,-4552.50098974,2544.5496522
14212.5620369,-12241.6387691,3907.4709868,-2746.22635663,-7202.57500383,519.527626715,-6345.90627356,-4271.08315343,6490.88891484,9904.9275033,-4670.58055549,515.432512928,lazy_college_senior,2177.85205438,-7185.54086593,3433.33855216,-1419.05762877,5403.62137748
7583.97511244,-3744.21626052,-6199.96785875,321.945593189,-1953.83281271,880.699172202,-2621.63378317,1648.68667428,-3917.86338023,1285.35355143,2066.34645884,-3156.48488361,philosoraptor,-3462.79351537,-143.119040053,-1978.59737708,-2147.14846139,451.946432109
-2554.77001694,11630.5989699,474.666869313,-2856.85075781,-4090.84641265,1947.15646425,-1121.3888334,-454.108677229,-2224.0369994,-5261.13281404,-7875.80134104,-3164.58640793,confession_bear,1000.80954541,-7929.99128078,1149.16660131,3996.04177775,-2099.81713616
-18009.368633,-12679.7286551,2854.98155385,-4419.20364641,-1454.21601383,1037.35968522,-2897.57158876,1573.96145155,-5850.33418836,-6377.14359856,-7255.96725985,757.710004779,first_day_on_the_internet_kid,-664.14987587,6378.57457575,-2243.98630825,-5255.12281769,988.390825712
19070.5544492,-15649.3481522,8558.12124077,-7211.9839575,-3595.13731065,1150.07748084,9737.15680446,-591.519347861,-2380.85325977,2061.5043603,1857.10117802,4410.66754025,sudden_clarity_clarence,-135.847785776,866.62531603,-6421.99132185,-3342.82746088,-5479.52757786
24613.7905963,-8401.94267737,-10445.9547248,4328.20801926,361.642214862,13654.5441625,-6103.95032252,5423.83195244,18988.4357222,3568.11675619,-2075.4052799,-4696.7157364,business_cat,-2458.08875188,5911.62684936,-3165.9063721,-2644.15113834,4130.66998085
-17744.9443524,-10511.1281604,-746.779186326,1904.70552441,-2170.11200342,2789.16368165,-3305.25232305,1528.10722339,-1423.52969688,-4064.48455341,-2235.13610844,-3193.33255884,minor_mistake_marvin,103.872619769,-841.061068329,-3939.35099097,5305.35570041,-4357.74009377
5212.40907081,18924.7400935,4505.28153614,-269.094027634,-6795.16716363,1683.77057575,5114.17355601,-6219.42767806,-12297.1633245,3920.90560043,5672.48308819,-409.084635202,high_expectations_asian_father,-3035.53559441,1684.30864599,-3669.5295716,-811.673637779,2094.55641695
-3626.31395497,7285.29431087,-6912.97861381,345.820815396,-7823.21107044,-9513.40877811,2172.7565685,3528.19738498,1141.27361016,1778.01895608,-2591.30954442,-405.686729717,paranoid_parrot,-1892.36966056,-2080.956174,-1742.20164546,4813.31803028,3443.49397621
32853.0788391,-5335.33999354,-2689.02625751,4023.45212383,9581.98803651,952.902803917,-935.219213456,-5207.03659172,-3651.97756337,-5683.406119,-1914.67426793,-7174.37522283,bad_joke_eel,6862.4375013,-3216.39980415,-3920.12026281,-1552.2851202,1805.91524153
